"AtlasAssayGroup"	"organism"	"strain"	"genotype"	"developmental_stage"	"age"	"sex"	"organism_part"
"ERR2576514"	"g37"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"male"	"cerebellum"
"ERR2576515"	"g37"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"male"	"cerebellum"
"ERR2576516"	"g38"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"male"	"heart"
"ERR2576517"	"g38"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"male"	"heart"
"ERR2576518"	"g39"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"male"	"kidney"
"ERR2576519"	"g39"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"male"	"kidney"
"ERR2576520"	"g40"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"male"	"liver"
"ERR2576521"	"g40"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"male"	"liver"
"ERR2576522"	"g42"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"male"	"testis"
"ERR2576523"	"g42"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"male"	"testis"
"ERR2576524"	"g43"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"female"	"brain"
"ERR2576525"	"g43"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"female"	"brain"
"ERR2576526"	"g44"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"female"	"cerebellum"
"ERR2576527"	"g44"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"female"	"cerebellum"
"ERR2576528"	"g45"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"female"	"heart"
"ERR2576529"	"g45"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"female"	"heart"
"ERR2576530"	"g46"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"female"	"kidney"
"ERR2576531"	"g46"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"female"	"kidney"
"ERR2576532"	"g47"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"female"	"liver"
"ERR2576533"	"g47"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"female"	"liver"
"ERR2576534"	"g48"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"female"	"ovary"
"ERR2576535"	"g48"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"female"	"ovary"
"ERR2576536"	"g43"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"male"	"brain"
"ERR2576537"	"g43"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"male"	"brain"
"ERR2576538"	"g44"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"male"	"cerebellum"
"ERR2576539"	"g44"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"male"	"cerebellum"
"ERR2576540"	"g45"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"male"	"heart"
"ERR2576541"	"g45"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"male"	"heart"
"ERR2576542"	"g46"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"male"	"kidney"
"ERR2576543"	"g46"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"male"	"kidney"
"ERR2576544"	"g47"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"male"	"liver"
"ERR2576545"	"g47"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"male"	"liver"
"ERR2576546"	"g49"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"male"	"testis"
"ERR2576547"	"g49"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day35"	"male"	"testis"
"ERR2576548"	"g57"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"female"	"brain"
"ERR2576549"	"g57"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"female"	"brain"
"ERR2576550"	"g58"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"female"	"cerebellum"
"ERR2576551"	"g58"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"female"	"cerebellum"
"ERR2576552"	"g59"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"female"	"heart"
"ERR2576553"	"g59"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"female"	"heart"
"ERR2576554"	"g60"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"female"	"kidney"
"ERR2576555"	"g60"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"female"	"kidney"
