"S1__con1"	"S2__con1"	"S3__con1"	"S4__con1"	"S5__con1"	"S1__con2"	"S2__con2"	"S3__con2"	"S3__con3"	"S4__con3"	"S5__con3"	"S1__con4"	"S2__con4"	"S5__con4"	"S1__con5"	"S2__con5"	"S3__con5"	"S4__con5"	"S5__con5"	"S1__con6"	"S2__con6"	"S3__con6"	"S4__con6"	"S5__con6"	"S2__con7"	"S3__con7"	"S4__con7"	"S5__con7"	"S1__con8"	"S2__con8"	"S3__con8"	"S4__con8"	"S5__con8"	"S1__con9"	"S2__con9"	"S3__con9"	"S4__con9"	"S5__con9"	"S1__con10"	"S2__con10"	"S3__con10"	"S4__con10"	"S5__con10"	"S1__con11"	"S2__con11"	"S3__con11"
"244911_at"	4.35515128272457	4.27294161600083	4.40555993188466	4.25891424820854	4.31598394261212	4.24704204234502	4.41964744480345	4.2979094600104	4.01483996740094	4.45764491905028	4.04215176645535	3.90155803743466	4.09285229753156	4.1679693994957	4.22111122642667	4.01738153284424	4.19918718161766	3.95760701087872	4.08822941102153	3.88995826761087	4.23006387766728	4.15213457839099	4.05845806517863	3.9791794860904	3.94793618274655	4.0209900004682	4.12114557680123	4.17617011810658	4.06271952649915	3.95099198498016	3.9736028244636	4.17041035495759	3.97390012018908	4.10244696259257	4.19555194987162	4.07928074178243	4.12991314653564	4.10712486885127	4.07043942791116	4.15364405223269	4.13279774347089	3.95503777280581	4.04477915197801	4.00608584043003	4.14643478448099	3.99447003121949
"244912_at"	7.0602889831339	6.69800589887322	7.04615704097418	7.22636356236753	7.42215109228616	7.79145674283979	7.77563352519614	7.12808069750716	5.93096013411567	6.82997942103152	8.19108723415575	6.44075504030219	6.46018577268131	8.13690175664015	8.43487632289226	7.66143804737754	8.00139344921468	6.53737444788293	7.223377624154	7.75392082708071	8.25347324230323	6.93612540576602	7.49708874063852	7.17223754497706	7.82716886700792	8.12701988379323	6.47914520459029	7.1649474081517	5.9674094797967	7.00671182311033	7.79709903822193	8.0745920074221	6.79844654187137	6.89457317023162	6.73325737566371	6.72814506652278	7.08425277714034	6.86353023567748	6.67649794392821	6.85538920095769	6.21760219502879	6.27470516704593	6.4342760603595	7.21219204204836	8.31113732806459	7.32529354552802
"244913_at"	6.36746378708021	6.14337718064464	5.98473179551677	6.18154178544853	6.03701272203174	6.0787254901357	5.53442702074874	5.51404664936261	5.9673661071185	6.2036423878991	6.07017742059363	5.86964150942969	5.82647076079575	6.06207288852145	5.76264120875803	5.70811511177588	5.92934859066812	5.19769752275759	5.3379193862421	5.14166048249636	5.90546680517091	5.81106809331499	5.52127129870616	5.39886442502762	5.34647103824806	5.38911917433993	5.64004226643978	5.45495229219991	5.34257737697215	5.53933085097932	5.51110074464793	6.35941415633313	5.8131870963792	5.81027575001592	6.19190655304969	6.11559853374091	6.13634190389779	6.09429375966168	5.7087332456488	5.60410847203648	5.67033202062488	5.50491522638935	5.6317914998842	5.67033202062488	5.53046464938755	5.51263258514246
"244914_at"	4.12646791213911	4.22616580377592	4.10222989893003	4.18514858681366	4.18524244955799	4.27335776578739	4.05787989403958	4.10522647952557	4.11694523995033	4.25609060390199	4.44047373720873	4.18907420588494	4.46856597236472	4.71576284139705	4.54154076283991	4.33066369902911	4.44805419887167	4.2163060376091	4.11828431266153	4.39785901593861	4.51240390569405	4.3465108098476	4.45008097789864	4.25355842087877	4.24166695216543	4.09509604087215	4.32694931467584	4.42486202003648	4.20032676651024	4.4601887814658	5.35626745807455	4.98491459863657	4.56044279679235	4.47891737444448	4.46883740919445	4.47023107204736	4.48295836879293	4.90706998102985	4.49982569185173	4.70821042536026	4.27049915707655	4.35694291833045	4.39785901593861	4.44293550725589	4.44475321804082	4.43952072516872
"244915_s_at"	5.61875358484383	5.72467324415027	5.49162665527075	5.84827625764951	5.48921175790551	5.56622989967225	5.40756210919616	5.32227643537297	5.73977999492278	5.64624504322318	5.99966263966074	5.59512735406566	5.56887754301422	5.97717897600213	5.58996708070808	5.90226138133616	5.76041335858519	5.38037436881792	5.44601039064313	5.59183184326485	5.63068715362826	5.22665865553662	5.69091660596346	5.41962646810749	5.22253612340479	5.43284454643066	5.37630699990679	5.40112192231224	5.39868445170648	5.38214264446238	6.27601177373092	5.83896800539093	5.56953706587186	5.61031253253814	5.77819349646276	5.99608911345357	5.72158426652861	5.62766857323285	5.98551665336041	5.75277197564697	5.46058984742271	5.75229221215261	5.403814944324	5.69024775477795	5.52253281475034	5.7079113928359
"244916_at"	4.62868165173362	4.74769442749455	4.75034455282076	4.69986295499684	4.58729950632867	4.58341595820825	4.51464173932916	4.47325586608627	4.68603530768195	4.59074318212778	4.9768258360372	4.93299511384153	4.75833680104821	4.79313127809256	4.9400906512073	5.04414231033077	4.72889087329284	4.4473387855042	4.60605024162448	4.54306907811326	4.85019010489301	4.82520694743699	4.58878614314224	4.6011011773128	4.4699716441844	4.59827936662039	4.78240174735117	4.76890315932124	4.7189948126289	4.92135793892914	5.07743644419857	5.02555463291131	4.76221503350824	5.06284412019777	4.98226970765409	4.87863702189268	4.98801858837129	5.05699619384127	4.74895110976894	5.07109658985766	4.87453910705964	4.77230882917903	4.68013280264901	4.86606195762502	4.71882740260929	4.92637886222055
"244917_at"	5.41025628884659	5.59474876413557	5.62030351653263	5.20357667711329	5.04497785690239	4.85353845291372	4.91723798403679	5.03340787826448	4.65385405716967	4.88733291571109	5.25086435535817	4.92080409972888	4.8994773604031	4.86548656985128	4.87396339833928	5.15560714529944	4.95771932120114	4.738950289556	4.76624203183401	4.5857002373138	4.89068643011044	4.76004527338126	4.70729283724212	4.64889174596499	4.71926504054845	4.60268096563957	4.94345116674565	4.73391050640077	5.30149175825463	5.32422602628163	5.20625396912345	5.62468075215224	5.33397684110267	5.55692565303947	5.02704518165034	5.0632664781297	5.06465512088633	5.42672460188436	5.05064613372995	4.84941171093872	4.93266854998772	4.86101756415228	5.01693522301793	4.84782767782933	4.99613710051523	4.94255203625499
"244918_at"	4.2269798191245	4.31488605819195	4.17744467434717	4.43325241548873	4.21632336526722	4.35510054036749	4.41422792506005	4.10558719611742	4.27885430368879	4.29669163968045	4.07817946680028	4.06926941312813	4.17741029193939	4.05977242030628	4.09879354119743	4.16922751580677	4.07584162008164	3.93858490521687	4.02267291768112	3.96427984274891	4.04481065886264	3.99191745617579	3.98920026841131	3.94952094333793	3.75581024717542	3.85301378869742	3.9762359473224	3.89120503864319	4.03500161424155	4.12232565305859	4.23503034349353	4.1535899754869	4.29231688540989	4.26895466531131	4.19779802093005	4.2177386902643	4.19895409101753	4.15138050850616	3.89156522130523	4.09064110512464	4.08052098958811	3.98885422424557	3.99465899348698	4.02328621761655	4.09170442148493	4.13840432893259
"244919_at"	5.92532088884856	5.76982067513691	5.79071066206305	5.84420310978448	5.59641076654279	5.633708730425	5.52619277263538	5.6224443844992	6.18038467923371	5.6860804305726	5.98262498884724	5.71984638397146	5.63505887706177	5.71428415125015	5.92198122897292	5.85315752796719	5.75941352762548	5.60278343026871	5.49247356155799	5.61756028600159	5.6860804305726	5.61883449159998	5.63172279556169	5.56305752828765	5.42728766992368	5.35317649975295	5.59258228257126	5.81600271736867	5.59370595804064	5.40032401950328	5.75881759592013	5.49126758645474	5.56204731292743	5.5519788113416	5.79696312102232	5.91821679990376	5.80763541591769	6.07568182664283	5.62240605638378	5.78912621903507	5.44575405174051	5.5286697171597	5.44778489586527	5.66530244306868	5.57772774401021	5.7126011691271
"244920_s_at"	6.91601860571128	5.88375369624752	6.38292650131057	6.99285562231292	6.45107651773968	7.71950442085322	7.60944617994804	6.72720817440973	5.73091259937293	6.59714983182712	9.55315177911645	7.05607304621677	6.99173998943879	8.54296192577882	9.21670785148438	8.26995016153049	8.48596450645342	7.00798480250907	7.58328784723413	8.64710491209502	8.909221343289	7.08234921753882	7.83911576854923	7.33535850318127	7.5505563174566	7.66101680609633	6.76894090058299	7.37161972073903	6.55891801061521	7.68590624840737	8.96788785016283	8.71397583695192	7.00922569082319	6.60400878966138	7.31760468863223	6.78510448689461	7.00286496821291	6.59003861529581	6.98491285895107	6.73596788059244	6.1050784775773	6.86413478112559	6.72791146557476	7.45784720749173	9.29777611387455	7.4502139216776
