"brain__DBA.2J"	"colon__DBA.2J"	"heart__DBA.2J"	"kidney__DBA.2J"	"liver__DBA.2J"	"lung__DBA.2J"	"skeletal.muscle__DBA.2J"	"spleen__DBA.2J"	"testis__DBA.2J"	"brain__C57BL.6"	"colon__C57BL.6"	"kidney__C57BL.6"	"liver__C57BL.6"	"lung__C57BL.6"	"skeletal.muscle__C57BL.6"	"spleen__C57BL.6"	"testis__C57BL.6"	"brain__CD1"	"colon__CD1"	"heart__CD1"	"kidney__CD1"	"liver__CD1"	"lung__CD1"	"skeletal.muscle__CD1"	"spleen__CD1"	"testis__CD1"
"ENSMUSG00000028396"	0.733725728375619	0	10.0968542711929	0	0	1.09722271868196	12.0910707683649	0	1.18396183347295	0	0	0	0	3.10474273651393	12.3715201573397	0	0	0	0	10.3159480390081	0	0	3.25576126408425	10.960882286542	0	0
"ENSMUSG00000028584"	5.34963708742739	0	0	0	0	0	10.8390160040955	0	1.82537731996965	4.97961776659525	0	0	0	1.18082904272281	10.6389174295176	0	2.39131054810061	3.34695584997028	0	0	0	0	0.456085010190152	10.3920371594198	0	1.53177204993539
"ENSMUSG00000028938"	0.733725728375619	0	0	0.651037389025403	0	0	1.11459884045203	0.458671262680057	13.3185122122691	0.570402575211101	0	0.643829802282914	0	0	4.55115386133952	0	13.2751593617665	0	3.21115473505211	0	5.48191199653012	0	0	4.26631697220629	0.801268266634434	13.6823673850313
"ENSMUSG00000029423"	3.36190762192413	0	0	0	0	0	0	0	13.694688655167	1.96703106668949	0	0	0	0	3.08429755768948	0	13.4041414870041	3.34695584997028	0	0	5.6047502369077	0	0	0	0	13.9078838897917
"ENSMUSG00000029630"	0	12.4075523750691	0	0	14.8775484961571	0	1.73582359978903	0	0	0	13.1323185280512	1.08742403594832	14.0394484131126	0	0	0	0	0	11.4614984928707	0	0	14.0626549804801	0	0	0.455561264753473	0
"ENSMUSG00000029707"	0	3.14487697523196	0	0	0	0	0	1.0859864899003	12.5708832711385	0	3.55912557861503	0	0	1.18082904272281	2.58197324855553	1.13791605988997	12.5504946161662	0	0	0	5.34763302311661	0	1.08095937628025	0	1.51428943089898	12.7022656293378
"ENSMUSG00000029754"	5.73799262816967	0	1.72394302425968	0	0	0	0	0	7.2634082817875	6.4877376549683	0	0	0	0	0	0	6.76253321670147	6.67136300521475	0	0	0	0	0	0	0	7.19611907103854
"ENSMUSG00000029882"	0	8.92507407333083	0	0	0	0	0	0	0	0	18.0259443365189	0	0	0	0	5.06250978800835	4.5635933106339	0	18.2767769540408	0	0	0	0	3.05267571780628	9.25519977370429	1.53177204993539
"ENSMUSG00000030046"	0	0	1.72394302425968	0.651037389025403	7.96138640757625	1.09722271868196	0	0	0.71017205295216	0	0	0	7.19151447705473	6.54683462232825	0	0	0	0	0	0	0	6.61397472677314	0	0	0	0
"ENSMUSG00000030945"	0	0	0	17.5371113480232	8.56086236262804	0	0	0	0	0	0	17.0709058249401	7.54108914321672	0	3.28218276747374	0	0	0	1.61599473711853	0	17.7333452366686	8.25992982637919	0	3.578484864851	0	0
