"cerebellum__ALS"	"frontal cortex__ALS"	"cerebellum__normal"	"frontal cortex__normal"
"ENSG00000073756"	4.27002686616309	6.77842487069522	3.66394784093866	6.53087319470171
"ENSG00000073792"	6.39473593705317	2.36226277549616	6.50778752222682	2.37924610409835
"ENSG00000074370"	11.1605909909532	5.01594374616365	10.7080401763849	4.57121512579129
"ENSG00000075213"	3.24858507292856	7.20401566956193	3.09951955247338	7.32954613942619
"ENSG00000075891"	5.69325009333756	2.35727318644292	5.86330980868992	2.89690972446823
"ENSG00000078900"	7.17705340244352	2.57989061077265	7.22666283499271	2.67033638330961
"ENSG00000079689"	9.50713981900733	3.64734220170923	9.75308422677192	3.96439123746734
"ENSG00000079931"	2.46796943922528	8.49789023403072	2.474135730345	8.74591051302964
"ENSG00000080644"	8.67811259096986	2.08900840430413	8.29915609741242	1.19667280116995
"ENSG00000081277"	3.05627175088967	5.35908059471115	2.58241696011871	5.37909468066643
"ENSG00000081985"	1.15771647943086	5.78610434747937	1.57254121228859	5.62664640359102
"ENSG00000082482"	3.97588708608614	6.89786521299018	3.28388797363759	6.8134881108297
"ENSG00000082684"	3.91414163830129	7.05418014054031	3.77242666338269	7.12111305720132
"ENSG00000085514"	7.29658155895794	3.8404150427234	7.72289116455462	4.14057608110512
"ENSG00000085741"	6.09177851388645	3.23160018704688	5.44061700987856	3.14405566736466
"ENSG00000086506"	2.11276409064001	4.57616017165926	2.91888961097655	5.00040086763878
"ENSG00000086570"	13.1223996364836	3.66440108752646	13.1041088279022	3.26821790041189
"ENSG00000086717"	1.44829303042748	6.0366475776091	1.71897647513952	6.30009981447984
"ENSG00000088992"	4.8850100110046	8.30385769933476	4.975758665865	8.68765668849465
"ENSG00000089116"	6.21263724203522	0.278288016435874	6.46315794517816	0
"ENSG00000089558"	1.38887978969098	6.06860852976532	1.20387024419746	5.98783630039607
"ENSG00000091137"	1.20161249229986	6.1826755581538	1.32258324317898	5.88089516422268
"ENSG00000091664"	2.62673759694039	8.26191261564858	2.39668918825063	8.2736050367441
"ENSG00000092054"	2.92615486497092	6.39644623392027	2.50732192569025	6.17453155594629
"ENSG00000092295"	5.14891463041673	2.03339825445176	5.656918391586	1.72088488467571
"ENSG00000094796"	8.24016592213827	4.16055977488891	8.70499687687094	4.37696716209598
"ENSG00000095059"	5.5078671752126	3.59197976810632	6.0804747822652	3.2963606623671
"ENSG00000095587"	4.12988639080815	7.02946979459783	3.99750168606147	7.00793184096774
"ENSG00000095932"	1.08675415025076	6.0787870651265	1.54913834782338	6.31575575987055
"ENSG00000097096"	2.01781250602479	5.19700377252408	1.96821032595279	4.92135617719247
"ENSG00000099308"	6.61272682720961	11.8072582349228	6.40922270430682	11.7894459279206
"ENSG00000100197"	5.18382676089663	3.24588710652579	4.56960258928457	1.68683097645156
"ENSG00000100276"	4.15069818925296	8.16086759139787	4.63109725057713	8.46616304722016
"ENSG00000100341"	2.67594969510596	5.58835543488462	2.29476739891464	5.44962990317651
"ENSG00000100604"	5.81621255523862	12.6634001221962	6.06100577677431	12.9638658340915
"ENSG00000100628"	3.20485585287725	7.35458391135555	2.7201840797136	7.42247884426328
"ENSG00000100987"	8.50177636004782	4.88416002591713	8.51557925805286	4.75268976485066
"ENSG00000101188"	0.744345425434702	5.31886861843505	0.419532250051247	5.40445607554228
"ENSG00000101222"	2.9107815602137	6.78685078659375	3.20268295815734	6.93343860818444
