"epidermis__standard_1h"	"epidermis__140mM_1h"	"epidermis__140mM_3h"	"epidermis__140mM_8h"	"epidermis__140mM_20h"	"epidermis__140mM_32h"	"epidermis__140mM_48h"	"cortex__standard_1h"	"cortex__140mM_1h"	"cortex__140mM_3h"	"cortex__140mM_8h"	"cortex__140mM_20h"	"cortex__140mM_32h"	"cortex__140mM_48h"	"endodermis__standard_1h"	"endodermis__140mM_1h"	"endodermis__140mM_3h"	"endodermis__140mM_8h"	"endodermis__140mM_20h"	"endodermis__140mM_32h"	"endodermis__140mM_48h"	"stele__standard_1h"	"stele__140mM_1h"	"stele__140mM_3h"	"stele__140mM_8h"	"stele__140mM_20h"	"stele__140mM_32h"	"stele__140mM_48h"
"AtMYB9..MYB9"	3.871955	3.525957	4.242228	3.449418	4.18005	3.611752	5.076195	6.078435	6.86105	7.479873	7.357599	5.076554	5.957519	5.815529	9.128776	10.012985	10.421288	10.360475	8.886714	7.717413	7.880058	7.782571	7.799034	8.074375	7.564554	6.288019	5.774956	5.921193
"COBL4..IRX6"	6.40492	5.158988	5.198906	4.387869	3.695808	5.305815	4.196669	6.898669	6.122061	6.572478	6.657722	6.793435	6.681963	6.558075	7.812354	7.319549	7.493717	6.890684	6.737527	7.413086	6.51155	8.103136	9.52682	9.47058	10.015888	9.133386	9.790262	9.731625
"GLIP7"	3.528992	3.225682	2.541481	2.05761	2.201319	1.147838	3.421495	3.299814	3.623641	3.026053	1.876513	1.767013	1.505257	3.418609	6.357085	5.107733	3.007544	6.609441	6.65379	3.726685	4.814817	5.266993	4.087364	2.212306	3.543098	4.193325	3.456159	1.182365
"TBL19"	3.048886	3.945305	1.864285	2.03526	2.592277	3.209303	2.727989	8.035579	6.547458	6.999607	5.934056	5.931206	5.956189	6.463646	7.574934	8.03046	6.534089	8.059092	9.266098	8.346429	8.066085	7.603777	6.290723	5.500089	6.202809	6.561095	6.437995	6.676049
"BETA..CA18..CA2"	5.641611	5.503331	6.037996	5.791545	4.772922	5.68212	5.311106	7.013363	8.944695	8.636472	8.585593	8.461596	7.120466	7.086142	5.411815	5.218755	5.59447	3.562715	5.653146	4.843542	5.044603	5.167508	5.555274	4.164895	4.765638	4.542672	4.951971	5.442362
"PRK1"	4.301366	3.97335	2.457983	3.274917	1.626183	1.544821	2.324431	3.989198	3.517404	3.896504	4.050336	4.191719	1.994917	4.102092	4.604565	6.360533	4.34858	5.860308	5.338243	4.338766	4.688971	4.829467	4.102719	3.128261	3.46535	3.120098	3.46408	3.377637
"WNK9"	4.76836	3.957449	2.546319	3.472541	4.40483	4.394369	5.122803	6.528555	6.532606	6.103699	5.944276	5.852903	5.697039	5.791123	7.775872	7.127462	6.92652	6.66637	5.37489	6.723968	6.683991	7.089154	8.76587	9.132589	8.024756	7.176317	7.714515	8.334319
"GATA23"	3.914357	3.661598	2.5259	3.479508	3.318106	4.077425	3.826802	5.660803	5.687576	5.26364	3.510687	4.021496	4.86809	3.383714	6.605016	6.4949	6.503836	5.478695	4.94474	4.987091	4.391929	6.314684	7.795186	8.414667	5.368271	5.877045	7.172046	6.62933
"ATK4..KATD"	4.493388	2.721599	3.806493	2.938026	3.927071	5.32978	4.214882	7.446006	6.18402	6.617762	6.023368	5.890884	5.771335	5.291628	8.587279	7.791638	7.831719	6.801661	6.286968	7.061102	6.382113	7.073198	8.162913	9.11296	8.605157	8.162119	8.245773	8.835302
"UGT72E3"	5.480388	3.440912	3.995154	3.253688	3.842382	4.414815	5.010891	8.761947	6.77486	7.374931	6.069662	6.990241	7.265329	7.584433	10.457956	9.470905	8.045346	7.959235	8.662213	7.274624	7.007963	8.64944	5.838451	5.75277	4.430997	5.81908	5.398228	5.537902
"AtRLP52..RLP52"	2.729917	2.074016	2.429942	2.479589	2.637267	2.420457	3.486749	1.04372	4.046849	4.105518	4.366198	4.578732	4.486391	4.910348	3.187355	4.339386	2.528045	4.901972	3.103135	3.655092	3.205396	3.336468	2.945141	4.606731	2.52057	2.0954	3.717155	3.189035
"ZFP3"	3.7657402	1.0957344	2.8009567	1.5884629	2.0199623	2.7874961	0.8937982	5.2788648	4.2396926	2.917527	1.2717751	3.1554247	1.1316058	2.174031	6.9484281	6.1815999	6.3023527	5.2331106	5.7270217	5.4761066	5.7799001	6.5184186	6.5728568	7.5625285	5.197579	5.0989004	6.1743704	6.7722917
"CYP71B13"	2.495471	2.7976079	2.7995119	2.9045113	2.1236079	2.0114246	3.6608047	4.6409688	4.3961126	4.8622965	4.0448205	5.0782952	4.4386074	4.2100389	3.9872737	5.5879152	4.1273747	3.9760284	4.1600216	3.0395951	4.1979527	4.7428586	2.5637726	4.0007554	3.0318454	2.893156	4.1778117	0.1033338
"ATFPF1..FPF1"	4.638292	4.396069	4.484767	2.35819	4.264965	2.484508	5.259901	2.966911	6.439817	4.316268	3.721404	3.296833	3.559896	2.553208	3.408394	5.114238	5.679427	3.258139	4.688139	3.312376	5.061832	4.584492	4.478059	3.332473	2.673671	3.284956	1.913295	3.489835
"CYP714A2..ELA2"	4.34972	3.244881	3.865672	3.331499	3.765093	4.387142	3.665707	5.321231	3.237941	4.047061	3.943533	4.286513	4.029617	5.092745	4.848241	5.887094	5.427519	6.772476	7.053859	5.628277	5.589371	5.045275	2.765735	2.589866	4.385379	5.457639	4.732218	5.787754
"CYP714A1..ELA1"	7.421999	4.917822	2.380354	2.369801	2.690285	3.098624	2.075068	9.188199	7.942605	7.476441	6.483512	6.110083	6.76933	6.919636	8.173245	5.848654	3.015432	3.909834	6.099399	5.85609	5.977417	9.063026	6.320509	5.082817	5.337682	5.01673	4.894467	5.218173
"MSP.1..OE33..OEE1..OEE33..PSBO.1..PSBO1"	5.546275	2.428231	3.882014	4.257215	3.27243	3.783384	4.503182	8.481587	9.28027	9.007372	9.310346	9.163677	8.907504	9.477704	7.612208	6.662918	7.041712	8.415588	8.526478	7.942668	8.487156	7.888423	8.049606	7.446496	8.372499	7.468886	8.176765	8.715321
"ANAC105..NAC105..VND3"	4.93227	3.711372	3.863808	3.19395	3.145133	3.27419	3.337079	4.32777	4.754054	4.86792	3.691205	4.876871	4.9711	5.226368	5.219995	5.507808	5.077918	5.327935	5.481788	5.275316	4.582135	6.242937	7.197555	7.6023	7.957585	7.370476	8.186667	8.136366
"ATSAC1B..ATSAC6..IBS2..SACIB"	5.734738	5.814459	4.715774	3.157446	4.250743	4.275101	2.425725	5.983742	5.356623	2.713367	3.777927	4.36491	3.286794	5.105779	6.183933	4.619	3.601858	3.49192	3.46859	1.761403	2.957574	5.791264	3.874469	1.888082	3.253351	2.890669	2.24094	4.242135
