"epidermis__standard_1h"	"epidermis__140mM_1h"	"epidermis__140mM_3h"	"epidermis__140mM_8h"	"epidermis__140mM_20h"	"epidermis__140mM_32h"	"epidermis__140mM_48h"	"cortex__standard_1h"	"cortex__140mM_1h"	"cortex__140mM_3h"	"cortex__140mM_8h"	"cortex__140mM_20h"	"cortex__140mM_32h"	"cortex__140mM_48h"	"endodermis__standard_1h"	"endodermis__140mM_1h"	"endodermis__140mM_3h"	"endodermis__140mM_8h"	"endodermis__140mM_20h"	"endodermis__140mM_32h"	"endodermis__140mM_48h"	"stele__standard_1h"	"stele__140mM_1h"	"stele__140mM_3h"	"stele__140mM_8h"	"stele__140mM_20h"	"stele__140mM_32h"	"stele__140mM_48h"
"ATHB.8..ATHB8..HB.8"	4.192005	2.690255	2.153639	2.204132	2.251395	3.052342	2.274254	6.504917	5.411858	5.774217	3.381849	5.608423	6.094215	4.964189	5.743005	3.350672	3.570128	2.611584	4.376267	2.854335	2.842878	7.673793	7.26984	7.657231	8.378814	8.202623	8.279874	8.868474
"ATCBL10..CBL10..SCABP8..ATCBL10..CBL10..SCABP8"	4.368936	4.762873	4.899972	6.170574	5.401717	6.120742	5.526276	4.073187	4.070828	3.889386	5.243407	5.099511	5.366929	5.066389	2.812399	3.57821	4.849511	5.039957	3.586945	4.644214	4.510045	3.208174	3.689989	2.391055	3.876933	3.453418	2.526727	3.536059
"IAA29"	4.802518	3.785371	2.419077	2.419756	1.906547	2.66059	3.119445	5.724027	5.232901	5.722901	5.114888	4.609104	2.643773	2.559923	7.302446	6.554372	6.211974	6.003961	4.9098	5.381379	5.790374	6.162378	6.73302	7.012141	7.180674	6.983252	7.184339	6.175244
"CYP82C4"	3.0630018	2.0491561	3.6638469	1.7225986	0.4204569	2.3056636	2.4340398	1.272156	1.5694941	1.2200206	3.2414049	2.9278666	2.0757641	1.5904075	2.992575	2.7251951	3.9979002	5.1338838	2.5905726	3.989613	3.5761489	2.5363516	3.7000658	2.4364633	2.734406	2.0916325	1.7539334	3.0187721
"CYP82C3"	2.6211294	0.6005246	4.7987656	4.0834754	4.8214267	5.7222956	6.8818718	0.9385063	1.8942799	7.3125549	6.437214	2.2251019	4.9121057	3.6294171	2.4185951	4.1694692	9.4467461	11.001995	9.4457981	8.3727321	8.5757441	0.7359635	2.5096863	6.9208271	8.013637	5.9855262	5.3148641	5.6484428
"GDU1"	2.989444	3.256796	3.837735	5.112235	2.933528	1.216228	3.070557	5.15868	2.905588	4.082766	5.779098	3.871566	3.887105	5.465189	7.402758	6.142984	5.935081	5.92747	4.965019	5.528626	5.822119	6.638517	7.134749	5.949044	4.578231	5.30469	5.947364	5.245679
"CDEF1"	2.585386	2.034956	3.164838	3.521112	3.372254	3.551059	2.542512	2.70878	3.741934	4.099263	2.255669	7.309882	6.366975	6.369541	2.032702	3.027644	1.802455	1.517446	2.337718	2.279937	2.804881	2.497804	2.269584	4.95942	4.765618	5.027231	3.962684	4.822034
"ATMND1"	4.605124	4.438576	6.137575	6.504892	6.192203	7.141191	6.898424	2.671513	4.917714	4.85387	5.178485	5.997159	6.138762	5.558422	2.34816	3.818046	2.745709	3.963615	4.065587	5.373025	4.640444	3.584978	4.654085	4.358389	3.564998	5.019181	5.480711	5.781821
"PSAE.1"	4.774847	4.853873	3.662897	2.106598	3.90329	2.949202	3.009645	8.689453	9.408976	9.321189	9.227951	8.42587	8.129828	8.592351	6.988909	5.887039	6.104982	7.421266	8.345662	7.379459	7.356189	7.019073	7.085468	7.331388	7.459832	6.801575	7.228492	8.020239
"AtMYB41..MYB41"	4.220605	4.106452	4.393896	4.630078	5.361446	3.993635	4.533598	2.982228	5.190751	6.706583	7.667968	5.170186	4.171026	4.171658	8.04239	9.939656	10.810656	10.391365	8.240231	7.162596	7.278919	2.867955	7.28997	8.221437	8.659196	5.473938	5.742528	5.689263
"HSP21"	2.979879	1.80665	3.375244	2.666934	6.784053	4.380832	6.455182	2.445856	6.896081	6.042909	7.596458	9.17537	7.744024	8.008535	5.535141	3.478937	6.538046	5.782643	8.864776	8.083329	8.051036	5.554379	6.763761	3.858057	3.085836	2.313873	6.725826	6.381252
"ATOPT6..OPT6"	3.592225	3.649144	1.423047	1.525097	4.092248	3.003917	4.108284	5.065495	3.422557	4.646066	6.078294	5.994223	5.197399	3.66244	5.599676	3.36762	4.856314	5.894411	3.588785	3.623442	3.515067	3.364868	5.820756	4.351123	6.775034	5.93249	4.06778	5.210605
"FAD4..FADA"	4.333642	3.956218	4.136989	2.903757	1.745883	2.59541	3.508021	7.783333	7.060121	7.309863	6.770452	6.387761	6.66852	6.920737	7.787646	7.312915	7.318066	6.980845	7.035446	6.350145	6.341984	7.754531	6.586112	6.010907	4.553599	5.33606	5.630959	4.220282
"CBL7"	5.488417	6.798182	5.695898	5.736056	5.270871	2.415819	3.74725	5.546471	5.16335	5.286988	4.284985	4.641688	3.569113	1.812418	5.52581	5.730162	3.94277	4.942787	4.555217	3.817267	4.051288	5.511623	3.923762	4.669854	3.872073	4.016014	4.304774	5.120523
"TAR2"	6.159353	6.144884	5.274741	3.78611	5.270959	6.283491	5.346874	5.295834	3.072687	3.190135	2.349168	2.825898	3.472683	2.61556	6.532759	2.796402	2.419926	3.324786	4.400983	4.704688	2.687006	5.48001	3.839915	2.538501	3.917482	3.235421	3.553856	3.295141
"ATTLP1..TLP1"	3.933708	2.723577	3.742643	3.158246	2.122963	1.722389	2.556005	6.604891	4.657052	5.829159	4.661104	4.965341	3.652249	3.553607	7.205278	5.779365	2.952032	4.292302	5.5659	6.045486	5.352761	6.321886	6.090082	5.562885	6.41213	6.463602	6.604127	7.498529
"CRK18"	4.990715	3.909782	2.316804	2.999626	3.59819	2.616479	3.452532	2.033254	3.238047	5.168237	5.642599	6.321855	3.618015	5.021976	3.168024	3.250072	2.702278	4.889494	4.305074	3.18192	3.452961	4.356752	2.748818	3.6447	2.951519	3.512122	2.704101	4.040411
"TET5"	6.103372	4.733432	2.765246	3.600082	4.941828	4.233481	5.759352	7.11814	6.554474	6.138231	6.564506	6.277232	6.470759	6.35031	8.670854	7.803186	8.187448	6.989539	8.510442	8.852826	8.727217	7.672117	9.585129	9.195156	8.565913	8.731236	9.897833	9.852316
"APT3"	5.278555	4.847404	1.532826	1.872301	1.936429	3.399512	2.211879	7.901083	9.448745	7.262662	7.676587	7.697655	7.366449	7.756857	8.899474	8.426852	7.361132	7.615131	7.516536	7.832331	6.466062	7.99213	9.687165	8.767794	9.260714	8.789299	9.009783	9.156551
"ENDO3"	5.387997	6.645625	6.165681	5.486778	5.746581	6.221615	5.73308	5.242607	5.118296	5.614911	5.098762	5.673936	5.956934	5.737929	2.813811	5.668304	5.429737	5.054902	3.76514	3.727951	5.387304	4.020041	4.301948	3.363483	3.054801	2.212965	3.022363	2.014666
"ARK3..RK3"	2.842449	3.300563	2.219492	2.195251	3.178385	3.118482	2.707076	2.536805	3.066628	1.602937	4.705583	3.350138	2.563345	4.482494	4.858692	3.195142	5.167248	6.680328	4.843039	3.174112	4.830752	5.248205	4.696662	4.981459	5.191656	3.464752	4.098725	3.951299
"ATGA2OX8..GA2OX8"	6.48258	6.689031	2.994053	3.462207	5.810269	5.597632	5.701542	7.015529	6.534363	7.501533	7.669577	8.922587	8.813999	9.133834	6.691983	6.490228	6.196174	5.663301	7.329186	9.059544	8.464692	7.071421	6.033801	5.845975	3.94523	8.086652	7.75875	7.301495
"ATRP1..RP1"	3.693515	3.70455	2.157933	1.843621	2.762907	3.632735	2.303886	4.982391	4.363521	5.715175	5.88479	4.35148	5.441541	6.060878	4.627448	3.532683	4.224377	4.268932	4.091919	4.327614	4.317149	4.265452	4.836267	4.122955	1.738111	3.699205	4.386338	3.516723
"GSO1"	7.531606	7.139916	6.47495	6.04642	5.760241	5.923529	4.920376	11.186957	11.155308	10.921104	9.9843	9.043486	9.402096	9.604773	12.410364	13.58067	12.569882	13.013284	12.642523	11.919879	11.873828	11.291079	10.933998	10.547602	10.141554	9.955883	9.091754	9.362141
"BAM3"	4.4779	2.402263	4.398406	2.995076	2.708746	2.166243	2.734983	6.213358	5.870099	5.700531	3.144597	4.276447	4.710947	4.487319	7.788329	7.108761	6.209824	5.903938	4.115164	4.662238	4.568775	5.965097	7.087169	6.565061	6.639487	6.254863	6.122587	6.374542
"ATIRT1..IRT1"	2.5361935	2.5508421	3.154256	2.6103989	3.1513912	5.2004819	2.7312131	4.5591541	3.1919011	2.3879159	4.2846169	6.4221633	4.711631	4.5586427	3.9510813	2.7871657	2.8217952	2.328873	4.0140886	3.3796549	0.9537515	4.2351821	3.6968167	2.9916882	3.6357806	6.6403766	6.5856028	5.2482482
"ATCESA8..CESA8..IRX1..LEW2"	5.347681	4.270599	5.193064	4.331426	4.374742	5.129667	4.884776	7.623224	6.438411	7.451931	7.222088	7.148418	7.047475	6.770473	8.176723	7.864055	8.090581	7.502604	7.031122	8.124391	7.521227	9.084825	10.89207	10.851955	11.140325	10.231409	10.758551	10.607621
"CLE2"	6.273532	3.774856	3.834515	3.02798	3.70872	4.224396	4.076799	7.958399	5.672999	7.032424	5.805916	6.750554	6.344269	6.236408	9.577464	7.695966	6.68974	7.135778	8.340246	7.620304	7.228098	9.044845	8.3696	7.963543	8.231256	8.915862	8.541476	8.555343
"ATNCED2..NCED2"	4.965209	1.125833	5.385039	4.395903	4.43231	5.254395	3.727272	5.010575	6.354655	6.934458	7.273707	6.399193	6.924778	6.283012	2.79438	3.661532	4.869472	4.688681	5.650045	3.687771	4.182658	4.749733	6.131084	5.687474	4.337398	5.428837	5.790857	6.207181
"X5PTASE2..AT5PTASE2..IP5PII"	6.809129	6.051945	4.816325	2.614208	3.257453	4.58541	3.691766	9.444656	9.740202	9.002661	8.717489	8.59857	8.391756	9.289035	9.926881	10.11678	9.302332	8.976903	8.828818	8.231147	8.372068	8.904724	9.037566	8.864449	8.522798	7.767849	7.788136	8.46823
"AtMYB79..MYB79"	4.03856	3.276204	4.404332	2.476707	3.268157	3.652798	1.933407	3.622198	4.222034	4.342847	1.545745	3.304546	4.448133	2.519737	4.846907	4.56925	4.355868	4.267509	4.004348	3.937725	4.500329	4.59929	6.4786	6.250654	4.734384	5.133377	4.498674	3.924111
"PSAL"	4.439419	2.652684	3.99195	5.226631	4.738347	3.721732	5.113773	8.246659	9.058306	8.890219	9.006993	8.344404	7.928632	8.423311	5.91467	4.548453	3.603955	5.976919	6.424442	5.8103	6.291011	5.150286	6.2795	5.229531	6.409639	5.949049	6.836792	7.286738
"EARLI1..pEARLI"	2.2470522	1.1591942	2.8864919	2.1848457	0.2450126	1.2621701	2.1151644	6.7726784	6.2524181	6.9808387	7.1017519	8.660699	7.7143553	8.7381444	1.2928742	2.3451014	1.3817941	1.3815985	3.7778547	2.85743	1.2167375	2.6278251	1.746179	5.0386118	4.6491458	5.2189524	5.2003724	6.2254124
"AZI1"	5.208985	4.444837	4.284836	4.011145	3.516807	3.92307	4.960902	7.727907	7.473132	8.516657	8.230709	8.297314	8.39611	9.235674	5.765522	4.724031	4.80821	5.893582	5.282575	5.713608	5.521799	6.766333	5.791684	7.050897	6.577671	6.131131	5.953037	6.831613
"PGRL1B"	4.294226	1.923231	3.269604	2.732916	3.890713	3.899821	4.76855	6.906423	6.820984	7.279589	7.581633	7.586923	7.153905	8.15028	6.741225	6.619912	6.817559	6.688362	7.025646	6.855938	6.781619	6.611129	7.002552	7.765482	7.021777	6.577835	6.517285	7.489637
"ATOSM34..OSM34"	5.086423	2.979775	4.417888	5.883239	6.805565	7.459531	8.213867	5.736849	5.501283	5.609724	5.37818	9.404811	9.315702	10.492473	4.212727	4.505591	6.072968	5.051043	6.672295	7.02636	7.44143	4.82118	6.232345	5.029523	6.074267	7.765576	9.219704	9.701908
"CRK32"	2.4741619	0.7334903	2.0590177	0.7443589	2.7903681	1.8035052	3.0331499	1.0094316	1.115045	3.854699	3.6219931	2.40234	3.0401751	1.5599656	1.7195301	2.3488865	6.2058547	6.7529452	4.9682021	2.8864905	2.38344	3.6552835	1.6797936	1.2192789	5.3646047	3.5192444	3.4767413	4.1873559
"LHCB5"	6.265223	5.537548	4.843129	5.243521	4.446746	5.277159	4.830174	10.330052	10.759998	10.969213	11.025469	10.27247	9.942955	10.013041	8.742939	7.515131	7.55529	9.306626	9.374796	8.262254	8.621429	8.336853	8.761537	8.216331	9.356365	8.608635	9.048384	9.669994
"ATSPS4F"	3.196803	1.33906	2.728855	2.92499	2.20347	3.616322	4.314022	5.409882	4.501437	4.844323	3.243295	4.11009	5.105199	2.569024	5.74576	4.138105	6.163703	4.851898	5.297904	4.216629	3.453511	5.273719	4.970955	5.233749	5.42384	3.029515	4.953922	4.361943
"GASA3"	3.1420644	1.1028062	1.8201347	2.6473674	1.2597898	2.2425116	0.6940948	0.6325285	4.8686766	5.4989075	4.9849917	4.0522143	3.1026458	3.9474989	2.410591	5.3059624	6.464574	5.0390607	6.1209779	5.3122895	3.0164821	2.6739367	8.4877434	7.6241103	6.1422506	6.3672983	5.794379	5.6686818
"SULTR1.1"	6.454443	6.154287	3.635022	3.34781	5.45826	4.309249	4.269054	7.118525	6.289411	5.176025	4.885601	6.044767	4.829271	4.77211	6.043934	5.30619	3.91503	2.707402	3.015881	3.500252	5.094989	7.638589	6.505839	4.369185	4.485919	6.331089	5.324125	4.059924
"ACS11"	4.114904	1.8603	1.794973	1.101754	2.790646	2.419348	1.729235	8.834888	8.040646	7.715454	7.217116	6.690963	7.539607	7.416538	8.659985	6.936853	6.065907	6.504052	5.912331	7.043973	6.817991	8.959586	8.595584	9.024477	7.793197	7.4009	8.092122	8.157152
"PSBQ..PSBQ.2..PSII.Q"	4.078442	1.633353	2.07663	2.964203	2.826741	2.376479	2.677626	7.735601	8.520232	8.248772	8.013958	7.640463	6.997799	7.470435	7.509338	7.396618	6.573401	7.64491	7.53351	6.97037	7.758418	6.63672	6.451335	5.567735	5.174703	4.652715	5.465959	6.085852
"CRK25"	8.827876	8.449127	6.381507	6.021033	4.566696	4.795006	5.87438	8.91233	7.435096	8.107456	7.118166	8.12772	7.664435	7.909005	7.911984	6.257849	4.004314	3.427898	3.21021	2.883366	3.596714	10.597132	8.178018	8.074336	7.238723	7.359874	6.940973	6.85478
"ATCPK23..CPK23"	4.7398088	5.263504	4.6174058	4.9477644	5.0047324	3.5635991	4.0593769	5.2839123	4.3097436	4.8339474	4.7589805	4.8130935	4.4637858	4.7458402	4.3078831	1.5936075	4.5920627	5.1440199	4.8420475	3.9716773	2.7494892	5.3560738	2.7801209	5.017603	4.6206514	4.5179898	4.8144989	0.7789498
"XTH9"	4.638324	2.996142	3.392834	3.649536	2.189684	4.119068	3.622567	5.485615	1.789437	3.637131	4.756527	2.270008	4.501875	4.058419	5.914779	4.064072	3.996849	4.629853	5.158943	5.73618	4.585188	5.599138	4.454263	4.129901	5.52542	3.668985	4.959136	6.117149
"PETC..PGR1"	4.756558	2.698526	3.236667	3.760967	3.371973	4.689353	5.513781	8.198045	9.278708	8.969835	9.678409	9.073043	8.457965	9.132678	7.374514	5.780426	6.068772	8.016851	8.431175	7.813981	7.897976	6.668469	7.940181	7.982378	9.099034	8.308716	8.821255	9.445192
"AOP..AOP1..AOP1.1"	5.866408	5.535204	3.657612	4.150798	3.444104	4.252732	4.596217	7.391877	4.943537	6.466346	4.695796	5.604678	6.065766	5.232133	7.197146	5.852764	4.012993	3.230058	2.779952	2.759343	2.515736	7.345524	4.049918	2.811454	4.955238	5.423505	3.904892	4.904179
"ATCNGC13..CNGC13"	4.715001	2.069413	4.395869	5.189049	2.872001	5.253521	4.198554	5.215794	4.843928	6.237872	7.009858	7.27286	6.22058	7.754043	2.78024	4.684779	6.795572	6.767469	7.068631	6.916546	7.255057	4.196623	5.220266	5.577005	6.216044	5.25937	6.017716	5.392342
"JLO..LBD30"	4.054396	2.248202	2.089089	2.015546	2.085573	2.72867	2.854301	2.997784	3.346398	3.556631	3.771897	2.924407	1.976876	3.54486	3.354251	3.719307	4.028914	3.147851	4.538837	3.822143	3.637586	5.327039	7.629568	7.603907	7.956981	6.51898	7.440075	7.057373
"CER60..KCS5"	10.063906	9.278974	8.907872	8.779192	7.706397	8.214443	7.852428	9.657371	6.914434	8.694218	7.101831	7.068418	6.559657	7.18555	9.158849	5.673562	5.446246	5.533141	4.809139	4.674382	3.41216	11.362731	6.755752	6.762516	7.367669	7.750814	6.848091	6.990222
"ATSOT17..ATST5C..SOT17"	6.704331	3.429568	4.396215	4.831918	6.349708	5.642891	6.152961	6.366131	3.78811	6.312772	7.578834	7.652251	7.16593	7.401755	5.860835	4.52179	8.247128	8.490818	9.498222	9.27672	9.442912	7.61337	5.854376	7.988174	7.923589	8.602171	9.036835	8.516673
"ATCLH1..ATHCOR1..CLH1..CORI1"	3.223231	3.335621	2.366069	3.740245	3.2576	2.943894	2.839425	4.233457	2.425689	3.251254	5.021139	6.38161	3.848653	6.77642	2.636176	4.49735	4.095592	2.668525	5.082929	1.9859	3.034495	3.329755	3.605672	4.273559	3.390341	3.396183	4.875699	5.101548
"AtCLO3..CLO.3..CLO3..RD20"	3.154714	7.158513	9.043168	7.338905	7.114562	6.559638	5.485146	2.9153	9.042895	9.128991	7.80731	6.895561	5.906103	6.1653	3.424078	6.530803	7.446481	6.047779	5.423733	3.993235	5.019539	4.705662	7.771897	7.154713	5.840527	5.414722	5.479925	2.608546
"ATMYB52..BW52..MYB52"	3.0521001	3.2028887	2.1441901	1.5338488	3.0001099	1.9188637	1.8487915	2.8377194	0.2774737	2.892532	6.1340364	2.9511836	0.8461572	0.6446757	3.4808345	5.8085237	8.9477135	8.8686745	7.5965685	3.5330564	5.1173328	2.7651847	5.0811667	6.5581057	7.0921353	5.356636	4.4753128	5.5541037
"ATWRKY71..WRKY71"	4.625589	3.861115	4.1095	4.687558	4.48078	2.533417	5.076873	3.943681	4.056767	6.783497	7.211145	5.04526	4.686001	3.757158	8.028615	7.245981	8.123028	9.824892	8.147492	5.583258	6.309275	5.931177	6.315157	6.411006	8.207161	6.672888	5.916497	4.277297
"FMO1"	4.554594	3.826174	2.578829	4.311015	3.688855	4.638889	4.729228	8.818349	7.503796	8.488364	9.604499	10.429005	9.118702	9.750403	6.683424	5.230831	4.908416	6.49746	6.879336	5.511035	5.097841	7.299731	6.735064	6.435856	7.923275	7.369184	6.515623	7.486757
"ATNDI1..NDA1"	7.801286	8.173664	7.668502	7.504788	7.281239	7.30901	7.710363	4.932831	5.914969	6.600924	6.40453	6.225547	6.093403	4.982597	3.588334	3.772493	5.010216	4.561023	4.376421	3.8102	3.441695	5.020132	6.396387	4.848622	5.971549	6.483241	6.435262	5.377547
"ATLAC1..LAC1"	6.213562	4.260021	3.716358	3.486368	3.566739	4.718191	4.974896	8.412137	5.653538	7.70412	6.180116	7.206397	6.80492	6.681091	9.88774	7.537635	8.27035	7.524672	9.023081	8.651506	7.737273	9.227272	8.619407	10.136185	9.067919	9.642579	9.897389	9.898942
"AtcwINV3..ATFRUCT5..FRUCT5"	4.980579	3.113855	1.259981	4.752083	2.235477	3.702678	4.46714	7.499879	6.889982	7.262044	6.144644	6.612669	6.726202	6.626283	5.98565	5.572064	5.738026	6.286735	6.029956	6.513263	6.397551	5.765629	5.129445	5.399097	5.527789	5.921372	6.004324	6.526813
"AtMYB83..MYB83"	3.542468	1.766288	1.584843	2.190855	1.609992	2.836848	3.144305	4.086146	1.86647	2.676854	3.382724	2.00846	3.675684	2.482831	3.576559	4.770434	1.886477	3.181483	1.332881	3.002509	1.431222	4.800223	6.277631	5.839121	7.131686	5.933134	6.807364	6.197766
"ATEXO70G2..EXO70G2"	2.92551	2.480451	2.605683	2.087534	3.710072	1.596694	2.596156	3.920029	4.099088	4.738108	4.716473	3.788261	4.139689	4.258159	2.390441	2.890744	4.167743	5.246715	3.550631	3.224155	3.490025	3.745985	3.604136	2.842003	5.854744	5.371343	4.263868	4.451649
"TET6"	4.708633	3.537131	2.689568	1.286665	2.91512	3.979875	3.255465	7.542533	7.546009	6.326192	6.279852	5.96837	5.440338	5.922553	8.995606	7.722704	7.732453	6.977718	7.613643	7.86648	7.97558	7.998392	8.510903	8.519679	8.213149	7.84183	8.284835	8.512583
"ATWRKY67..WRKY67"	4.730257	5.301014	4.17268	4.857157	4.441056	3.914599	1.82693	5.966972	5.692938	5.383935	5.281321	5.321046	4.133685	4.118355	6.531184	6.768539	6.184172	3.702862	4.17301	4.536712	3.523499	6.263385	6.52947	6.320419	5.877832	3.843138	5.249233	3.427534
"ATMES11..MES11"	5.771373	3.540456	4.412252	3.13623	3.554876	4.748867	4.199129	6.350625	6.364773	6.315351	6.341692	6.322578	6.19658	5.802715	8.204471	7.063232	7.502506	6.991125	6.926694	7.13583	6.84082	7.27923	8.708356	8.920196	8.450011	8.047992	8.433876	8.686902
"ATCLC.B..CLC.B"	7.096942	7.110977	6.067142	4.143461	4.337567	4.516352	4.422388	10.200619	10.138195	9.897536	8.513071	8.250674	8.770561	8.853714	8.646902	7.745968	7.128093	6.854891	5.897065	6.260897	6.371672	9.34856	7.977164	7.907135	6.788179	6.047904	5.87028	5.311636
"PCC1"	5.074232	1.881104	3.525309	3.781409	2.287457	4.46111	4.769104	8.852355	7.519306	8.009265	3.498485	5.207445	5.461512	6.0007	7.593186	6.500258	6.81666	6.485417	5.704076	5.851111	5.503639	7.75553	6.039313	5.630907	5.389895	4.436893	5.29076	3.78909
"ABCE1..ATRLI1..RLI1"	4.38233	2.466396	1.342964	2.256234	2.641256	1.175076	2.674958	4.323294	2.526704	4.830627	5.386942	5.298836	4.229265	4.912772	5.370315	5.217326	6.33418	6.688351	6.538655	6.394039	6.780607	4.183504	5.298327	6.15135	6.158626	5.610304	5.791065	5.791417
"CYP90D1"	5.544508	3.254888	2.184889	3.651589	4.485086	1.537252	3.755613	6.573805	5.324313	6.143756	5.992828	6.225413	5.987232	6.063764	7.383203	5.937143	5.32878	5.537436	6.606754	7.435494	6.87512	6.704092	6.533839	7.606049	7.492262	7.695247	8.607292	8.548574
"CYP705A32"	4.260899	3.198813	2.625224	3.922856	3.606183	4.636864	4.947761	4.654972	1.34619	4.62379	4.162641	3.300421	3.47271	2.570181	4.177715	4.189565	5.078997	3.74126	4.106979	5.443115	4.735662	4.628536	4.194025	2.380736	4.819049	3.161011	2.662055	2.850787
"CWLP"	3.063243	2.324675	0.558029	1.105245	2.075808	4.043979	2.706844	7.14528	6.558192	6.886123	7.41046	7.111291	6.229515	6.5478	7.486813	8.700748	7.491765	8.091097	8.171721	7.574383	7.330018	6.681416	6.038251	4.671253	5.197352	5.969974	5.915137	6.837353
"CYP71B34"	4.610707	4.662833	4.077525	3.246237	3.470347	4.200147	4.579885	9.426692	9.558903	8.908965	8.494849	8.191371	8.382005	8.963794	7.936937	7.532088	6.880008	7.502017	6.522041	6.511683	6.406345	8.014621	6.957707	6.45971	5.936264	5.67164	5.406691	5.496373
"CYP71B37"	2.9461885	1.8814796	1.7522386	1.6510415	1.8866244	0.4025092	1.092885	4.8481807	2.2921495	4.3046344	1.8230296	3.2025604	4.0277289	2.7320968	6.4828652	4.4273551	3.4107932	2.6490862	4.341045	5.2688584	3.8686447	6.0908932	6.0537603	4.9684968	1.7801979	3.2983148	5.7981305	4.9818833
"PSBTN"	2.589298	2.426914	2.445999	1.161611	2.906447	3.127261	2.836952	7.462084	7.990864	7.348844	8.178102	6.918626	6.735039	7.267039	4.596305	3.751969	2.306822	5.808458	5.465487	3.317133	4.13502	4.432116	5.476107	2.032578	5.358175	3.778459	5.406393	5.97359
"ESM1"	4.199023	3.114417	3.993825	4.11917	5.111037	4.646369	2.535114	5.327614	6.000477	5.831923	5.656861	6.066134	6.039992	5.764187	4.614944	4.223621	4.88029	5.60094	5.011309	5.115543	4.077872	4.957808	3.941755	2.345174	3.04818	3.435603	4.019205	3.410986
"ATMT3..MT3"	4.912953	3.475938	5.090346	3.958011	4.196438	4.363974	3.913697	7.540915	7.237756	7.420567	6.543325	7.435251	7.324482	7.666258	9.222739	7.700305	8.193392	7.35335	7.908538	7.517532	7.487413	7.243169	9.494101	8.262579	8.424628	7.954087	8.694807	9.002755
"CYP705A23"	5.015928	5.735018	5.931495	5.576285	5.563094	6.052385	5.744706	4.929454	4.710646	4.407351	5.625699	4.855192	4.761491	3.519684	4.213711	1.662839	2.699885	3.437275	3.147453	4.658862	2.080751	3.97064	5.006808	2.88616	3.668406	4.269438	4.474006	2.971011
"CYP705A20"	5.671648	4.55559	5.082507	5.106371	4.621362	3.076774	4.39693	9.076469	7.632296	8.372138	7.451269	6.979599	6.763176	6.760503	6.753301	5.42268	5.603355	4.755754	5.736229	5.094507	5.577236	6.141864	5.32597	5.352623	5.208279	4.321916	4.63977	4.595219
"ATMYB71..MYB305"	4.2893391	2.0607198	2.0593279	3.0438009	2.4634996	0.5376978	3.7789394	4.4586894	4.2561761	4.0849629	2.3854061	0.9380359	3.5106369	1.5907734	4.683204	4.0334047	4.0853094	2.7382315	3.7836047	1.81292	2.4320613	3.834131	6.0943538	6.6032182	4.3920872	4.4327528	2.6458746	4.5045005
"DEG11..DegP11"	3.955407	3.927396	2.067621	3.789011	2.714049	3.281178	3.137924	4.66875	5.141112	4.046452	4.791093	3.43649	1.289274	3.914119	3.852815	3.658374	3.825813	4.975567	3.351975	3.095672	3.445207	4.121788	5.464384	4.907257	4.665689	4.630602	3.372109	2.129715
"MEL4..NPY4"	3.793588	3.328158	5.978474	6.098342	6.619832	7.367495	6.711749	1.687648	2.200874	3.512989	3.364959	6.850828	7.258718	5.495926	1.102959	4.117171	4.730511	6.245505	7.784725	6.674449	6.305564	3.612826	3.081836	3.738159	6.520329	6.493463	7.009803	7.270763
"ALMT1..ATALMT1"	2.525452	2.886639	2.534514	4.11023	4.13374	2.575358	3.261263	5.681672	4.488439	4.16073	5.256115	3.641084	2.832533	3.399298	5.774884	2.883577	3.918595	2.737099	4.274915	2.554589	2.667716	5.001841	4.776289	4.744982	3.086247	2.29071	3.334106	1.58509
"CYP71B23"	6.646062	5.388499	4.78711	4.387976	5.358279	5.282844	5.549749	5.608447	4.51819	5.391668	6.196042	6.857148	5.645458	6.444272	4.82751	3.664311	3.013974	4.138941	2.532446	4.417328	3.59826	7.892057	5.11759	6.100985	6.880436	6.309462	6.663011	5.863283
"ATAIG1..BHLH32..TMO5"	4.914623	4.221837	4.377538	4.019866	1.915399	1.498947	1.056291	6.596601	5.33071	5.105048	5.489128	5.537957	4.740289	5.563206	8.868358	6.838001	6.303877	4.978959	4.954382	6.484499	6.014779	8.753773	9.040008	9.241513	8.851497	8.241637	9.080962	9.84069
"MEF22"	2.231799	3.623596	4.857301	4.258556	4.954814	5.170003	5.163012	4.133803	2.475843	4.450649	4.212677	4.942277	5.337303	4.443536	2.009025	5.740386	3.053931	4.22765	5.035741	3.24859	4.488172	2.974059	3.769427	3.114545	5.194321	5.054385	3.269308	4.911925
"GUX1..PGSIP1"	5.950533	5.304191	4.075493	3.358949	2.737076	5.003694	2.740825	6.918156	5.983329	6.273778	5.827508	5.933486	5.707042	6.104686	7.204315	7.215677	6.929947	6.336031	6.55484	6.586757	4.855188	7.702024	8.957839	8.763981	9.482973	8.739492	9.149869	9.15732
"ATMYB15..ATY19..MYB15"	5.386216	3.998758	6.094706	6.181881	5.519711	6.989695	7.477933	7.382109	8.109708	9.864925	10.378888	10.078891	9.705955	10.380199	8.989792	10.411976	12.01955	12.182843	11.756365	11.373158	11.599153	8.802299	10.521741	11.383945	11.606566	10.334541	10.807532	11.431067
