"brain__day0"	"brain__day0"	"brain__day155"	"brain__day155"	"brain__day70"	"brain__day70"	"heart__day0"	"heart__day0"	"heart__day155"	"heart__day155"	"heart__day70"	"heart__day70"
"ENSGALG00000013720"	25	25	4	4	22	22	34	34	59	59	27	27
"ENSGALG00000013723"	9	9	141	141	413	413	86	86	413	413	244	244
"ENSGALG00000013756"	33	33	56	56	12	12	89	89	59	59	45	45
"ENSGALG00000013838"	33	33	47	47	32	32	13	13	18	18	19	19
"ENSGALG00000013964"	88	88	62	62	50	50	52	52	23	23	30	30
"ENSGALG00000014228"	4	4	7	7	3	3	0	0	0	0	2	2
"ENSGALG00000014232"	56	56	33	33	36	36	7	7	1	1	1	1
"ENSGALG00000014264"	97	97	69	69	96	96	7	7	5	5	4	4
"ENSGALG00000014453"	21	21	57	57	15	15	23	23	43	43	13	13
"ENSGALG00000014603"	44	44	120	120	237	237	251	251	1069	1069	1030	1030
"ENSGALG00000014713"	7	7	6	6	0	0	1	1	1	1	2	2
"ENSGALG00000014750"	1	1	16	16	10	10	0	0	70	70	23	23
"ENSGALG00000014840"	3	3	1	1	2	2	11	11	7	7	8	8
"ENSGALG00000014925"	2	2	0	0	0	0	1	1	0	0	1	1
"ENSGALG00000014980"	49	49	86	86	49	49	9	9	3	3	10	10
"ENSGALG00000014989"	1	1	0	0	0	0	1	1	0	0	0	0
"ENSGALG00000015134"	0	0	0	0	0	0	0	0	51	51	0	0
"ENSGALG00000015172"	11	11	27	27	11	11	0	0	1	1	2	2
"ENSGALG00000015176"	3	3	0	0	2	2	0	0	0	0	0	0
"ENSGALG00000015224"	81	81	105	105	46	46	1	1	1	1	1	1
"ENSGALG00000015283"	17	17	19	19	15	15	16	16	25	25	10	10
"ENSGALG00000015602"	1	1	2	2	1	1	3612	3612	13125	13125	7524	7524
"ENSGALG00000015662"	0	0	2	2	2	2	0	0	1	1	3	3
"ENSGALG00000015685"	393	393	435	435	175	175	13	13	36	36	31	31
"ENSGALG00000015692"	5	5	11	11	4	4	29	29	2	2	8	8
"ENSGALG00000015822"	14	14	20	20	12	12	95	95	100	100	138	138
"ENSGALG00000015824"	40	40	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000015878"	239	239	192	192	109	109	110	110	121	121	107	107
"ENSGALG00000015928"	2	2	4	4	2	2	0	0	0	0	0	0
"ENSGALG00000015937"	0	0	0	0	0	0	224	224	86	86	283	283
"ENSGALG00000016125"	184	184	198	198	117	117	60	60	39	39	45	45
"ENSGALG00000016142"	9	9	123	123	197	197	3	3	325	325	133	133
"ENSGALG00000016157"	33	33	1	1	7	7	8	8	1	1	5	5
"ENSGALG00000016221"	76	76	96	96	64	64	10	10	7	7	23	23
"ENSGALG00000016268"	238	238	228	228	87	87	7	7	1	1	4	4
"ENSGALG00000016318"	1073	1073	744	744	520	520	14	14	12	12	20	20
"ENSGALG00000016400"	12	12	101	101	160	160	5	5	513	513	147	147
"ENSGALG00000016475"	3	3	16	16	18	18	5	5	177	177	48	48
"ENSGALG00000016492"	6	6	4	4	3	3	1	1	0	0	3	3
"ENSGALG00000016591"	155	155	202	202	163	163	4	4	6	6	2	2
"ENSGALG00000016664"	0	0	0	0	0	0	65	65	18	18	44	44
"ENSGALG00000016674"	133	133	110	110	104	104	32	32	30	30	17	17
"ENSGALG00000016757"	11	11	3	3	3	3	4	4	0	0	3	3
"ENSGALG00000016761"	70	70	59	59	60	60	90	90	40	40	21	21
"ENSGALG00000016858"	0	0	0	0	0	0	0	0	1	1	1	1
"ENSGALG00000016884"	11	11	0	0	5	5	6	6	9	9	7	7
"ENSGALG00000016981"	47	47	23	23	16	16	0	0	2	2	4	4
"ENSGALG00000017039"	18	18	34	34	25	25	6	6	3	3	13	13
"ENSGALG00000017040"	1592	1592	7175	7175	3753	3753	158	158	455	455	1438	1438
"ENSGALG00000017052"	72	72	38	38	48	48	0	0	0	0	4	4
"ENSGALG00000017117"	6	6	23	23	5	5	4	4	2	2	7	7
"ENSGALG00000017190"	30	30	13	13	24	24	2	2	11	11	10	10
"ENSGALG00000017195"	15	15	31	31	13	13	26	26	74	74	35	35
"ENSGALG00000017317"	40	40	46	46	47	47	11	11	6	6	24	24
"ENSGALG00000017343"	26	26	6	6	2	2	2	2	1	1	4	4
"ENSGALG00000017347"	7	7	0	0	1	1	3	3	2	2	1	1
"ENSGALG00000017418"	850	850	996	996	2592	2592	47	47	8	8	6	6
"ENSGALG00000017485"	2	2	1	1	1	1	7	7	10	10	3	3
"ENSGALG00000017790"	11	11	0	0	157	157	2	2	566	566	1	1
