"cell"	"cluster"
"191"	"C1.1772096.088.B09"	"clus8"
"192"	"C1.1772096.083.E04"	"clus3"
"193"	"C1.1772096.088.B11"	"clus3"
"194"	"C1.1772092.002.G03"	"clus3"
"195"	"C1.1772096.092.B11"	"clus8"
"196"	"C1.1772096.150.H11"	"clus3"
"197"	"C1.1772096.086.C04"	"clus3"
"198"	"C1.1772099.045.F07"	"clus9"
"199"	"C1.1772096.088.A08"	"clus8"
"200"	"C1.1772094.136.C04"	"clus3"
"201"	"C1.1772099.012.A12"	"clus9"
"202"	"C1.1772099.002.G06"	"clus9"
"203"	"C1.1772096.091.G11"	"clus3"
"204"	"C1.1772125.080.F10"	"clus5"
"205"	"C1.1772094.135.C09"	"clus3"
"206"	"C1.1772096.086.D09"	"clus3"
"207"	"C1.1772096.094.C09"	"clus3"
"208"	"C1.1772117.039.A09"	"clus5"
"209"	"C1.1772099.073.B04"	"clus4"
"210"	"C1.1772096.085.B09"	"clus3"
"211"	"C1.1772099.010.G12"	"clus9"
"212"	"C1.1772096.084.C10"	"clus4"
"213"	"C1.1772099.046.B03"	"clus9"
"214"	"C1.1772096.087.E07"	"clus3"
"215"	"C1.1772096.091.H03"	"clus3"
"216"	"C1.1772096.084.D06"	"clus3"
"217"	"C1.1772092.296.H11"	"clus3"
"218"	"C1.1772092.002.H12"	"clus3"
"219"	"C1.1772092.002.F04"	"clus4"
"220"	"C1.1772096.085.B07"	"clus3"
"221"	"C1.1772096.088.A03"	"clus8"
"222"	"C1.1772094.135.B02"	"clus3"
"223"	"C1.1772096.092.C04"	"clus3"
"224"	"C1.1772125.080.C10"	"clus5"
"225"	"C1.1772094.135.H04"	"clus8"
"226"	"C1.1772117.104.A11"	"clus6"
"227"	"C1.1772117.154.C06"	"clus4"
"228"	"C1.1772125.080.D06"	"clus5"
"229"	"C1.1772099.091.B11"	"clus6"
"230"	"C1.1772099.092.D11"	"clus6"
"231"	"C1.1772117.137.G07"	"clus2"
"232"	"C1.1772099.093.B07"	"clus6"
"233"	"C1.1772096.146.C07"	"clus3"
"234"	"C1.1772099.008.E09"	"clus9"
"235"	"C1.1772096.149.B07"	"clus3"
"236"	"C1.1772067.074.A11"	"clus3"
"237"	"C1.1772096.154.A09"	"clus8"
"238"	"C1.1772099.093.G11"	"clus4"
"239"	"C1.1772096.083.A09"	"clus3"
"240"	"C1.1772099.090.A11"	"clus6"
"241"	"C1.1772117.102.H10"	"clus6"
"242"	"C1.1772117.159.A03"	"clus6"
"243"	"C1.1772117.100.A04"	"clus6"
"244"	"C1.1772117.102.F11"	"clus6"
"245"	"C1.1772117.108.H09"	"clus6"
