"embryo0hA"	"embryoColeoptile1hA"	"embryoColeoptile1hN"	"embryoColeoptile3hA"	"embryoColeoptile3hN"	"embryoColeoptile12hA"	"embryoColeoptile12hN"	"embryoColeoptile24hA"	"embryoColeoptile24hN"	"coleoptile48hA"	"coleoptile48hN"	"coleoptile72hA"	"coleoptile72hN"	"coleoptile96hA"	"coleoptile96hN"	"coleoptile72N24A"
"Os01g0327400"	0.372324954552494	0.978675628288806	0	1.19792415953298	0	3.93775788467341	2.57987557189278	6.45736768889844	1.79992934950695	7.95854986392691	3.77391923212851	8.37673548499438	5.61850463319975	9.84149246427383	4.0549950396563	9.40542916018318
"Os01g0347600"	0	0	0	0	0	0.426524081417596	0	8.13171339657526	0	8.86363817442636	7.02858162763841	8.00165490246964	10.7685072549473	9.64920253299645	12.130316877205	9.12866289278736
"Os01g0358100"	0.372324954552494	0.612038341314028	0	1.29942857703862	0	6.70408602616861	4.63270678079664	8.29402061741555	4.99042159328296	8.91699305515536	4.57573446760036	8.93779883612211	5.9299535203076	9.2483776340031	6.37610345159189	9.20452819778929
"Os01g0359600"	0.372324954552494	0.37169961271703	0.643500287146254	0.27671875861494	0.28190551146412	5.05985026072381	2.26363510409928	6.45397538817952	3.15223012736779	7.05625181110632	3.99863072518597	7.55233755278824	5.99839063934056	10.7856358556236	7.1222612625621	8.13342197273947
"Os01g0378100"	0	0	0	0	0	6.25756649135966	1.25864157749847	7.72304154702936	3.77997928636763	8.68767313658209	5.01726818058313	9.84164517451229	7.13828156305978	6.9026823728178	8.07868844594828	9.37368801790131
"Os01g0393100"	5.57583587391032	7.6150767720014	7.46909246575117	7.43610462478074	7.60034499176776	5.07771480301704	7.3808780607332	1.93780272124965	5.09007263305669	1.0090870889396	3.20125673905944	0	0	0	0	0
"Os01g0563000"	0.922449034191544	0.99011012525231	0	0.27671875861494	0	0	0	7.47185211836698	0	9.55848925023137	0.772140637084507	9.57545141412925	1.62616425246967	12.4762909811372	1.84672845141259	10.2280107010221
"Os01g0564300"	0.372324954552494	0	0.403078841118303	0	0	0	0.508019543511626	0	0.342368965205299	2.90403017954346	0.256191777465283	8.93987356540063	3.29750352823531	11.1328902377354	5.71628287182083	7.09421109710871
"Os01g0595600"	0	0	0	0.369164638427129	0	4.49605960910895	0.304723990754969	6.5162213095373	2.71530161409694	7.21111809969958	5.86055260954248	8.01269702186637	7.26987624075021	8.8469640648272	8.23840312570525	8.33718460003093
"Os01g0597600"	0	0.771550680418338	0.240421446027951	0.969989742480442	2.14157373707454	6.38469301075018	3.72463919463877	5.24699256859184	4.89385382943502	5.58904729053966	4.87774855266581	10.2736393885285	3.09875873506944	8.08760742500312	3.50808369827039	8.77663409441518
"Os01g0600900"	0	0	0.643500287146254	0	0	0.259076054264865	0	0.711631939853762	0	4.32350470134974	0.256191777465283	7.90754376363987	0	6.3020996326523	0.396253065552946	7.30883059161203
"Os01g0601000"	10.7343169009634	10.72283265247	10.7447039087292	9.75957890944078	10.4934879824781	3.87347812631816	3.92140238659188	1.67068200448787	2.28795932722806	1.75646672448322	1.29200307283092	1.37675731654551	0.574447980518784	0.415734885450589	0.840081321428114	0
"Os01g0615050"	1.26614357422579	0	0	1.82907894610001	0.28190551146412	9.26009718115418	6.36896905919243	10.1685911006399	6.0135389006976	8.34845789057879	4.40629475327895	11.4259903157816	3.5258342177549	8.59988308856561	4.25912450940694	11.5986846188943
"Os01g0631900"	0	0	0.803048637810219	0.645883397042069	0.733415726978868	1.47125546509573	0.31818827572482	4.1296172799295	2.44760472827886	8.35910443089784	5.26203775026039	7.53678053040547	5.59784957620098	3.56518212210217	5.76724787555455	8.6560254507526
"Os01g0644200"	11.1574216398465	11.3658290589142	11.2351183928656	10.0961300656762	11.1327736604414	3.51039550209544	4.50709959568351	1.2863778711367	2.66969786631494	0.261514728889258	1.22886414302424	0.243943310617855	0.871674386984075	1.09539803908559	1.04094695376738	0
"Os01g0654400"	9.68512008928873	9.81648402793937	9.8035943048711	9.18311971942142	9.74056040562732	2.97305197477849	3.91461700052603	2.21690520847631	3.48232905083655	1.66024617059262	2.24082886985008	0.684727892210335	2.67826479677527	2.08649182115152	2.87348367676666	2.10770534688308
"Os01g0660200"	1.12976149006509	0.399851067701309	1.08506226978988	1.28134088878922	0	3.15559345038722	2.38332133326344	8.61133868858575	8.04405015832345	7.35012378153211	10.4655163152514	6.825220711861	5.11356574721857	10.7921270699864	6.32660945768475	8.35999081607782
