"cerebral.cortex"	"hippocampus"	"hypothalamus"	"cerebellum"	"cerebral.cortex"	"hippocampus"	"hypothalamus"	"cerebellum"	"cerebral.cortex"	"hippocampus"	"hypothalamus"	"cerebellum"
"Kcnc2"	66	86	48	2	80	88	46	2	67	100	67	6
"Kcnd2"	219	585	174	1144	327	466	165	1726	226	386	265	1387
"Kcnf1"	33	22	14	0	68	25	17	0	74	32	25	2
"Kcnh3"	176	115	9	7	236	143	9	5	231	125	14	21
"Kcnip2"	53	267	24	4	137	243	24	6	74	141	35	3
"Kcnip4"	263	465	113	1613	397	437	148	2492	331	319	130	1623
"Kcnk1"	84	115	39	150	151	101	20	337	75	69	67	304
"Kcnq3"	193	461	57	40	239	310	66	73	190	263	115	63
"Kctd12"	22	140	45	100	57	168	27	177	48	122	62	222
"Khdrbs3"	262	374	88	15	347	379	100	31	322	381	124	25
"Klhl2"	135	447	66	60	248	338	91	62	170	334	114	108
"Kndc1"	103	174	124	356	174	124	140	612	138	210	226	525
"Lamp5"	307	71	11	0	344	57	21	0	313	47	27	2
"Lhx2"	102	149	13	0	141	152	8	1	114	160	22	0
"Limd2"	86	251	72	48	139	269	66	115	107	165	57	67
"Lin7a"	97	92	47	270	109	50	40	412	89	68	78	413
"Lingo1"	520	552	95	93	716	500	119	115	574	416	139	99
"Lix1"	74	165	25	29	92	125	33	17	102	120	57	32
"Lmo3"	28	154	34	2	45	124	32	2	35	179	54	2
"Lmo4"	1596	992	198	96	1899	1038	233	226	1494	868	335	184
"Lmtk2"	21	14	11	20	31	41	17	2	44	54	20	45
"Lrrc8b"	157	168	41	58	288	185	56	47	201	154	61	82
"Lsm14b"	21	53	27	31	32	35	19	34	95	73	79	146
"Lxn"	3	33	9	16	11	15	10	29	5	13	8	40
"Ly6h"	284	756	701	35	570	719	796	131	487	722	947	60
"Mal2"	720	1046	285	20	993	1207	330	21	850	1006	421	28
"Mast3"	55	103	16	7	62	108	17	23	70	75	17	16
"Matk"	44	100	38	13	61	109	29	24	48	87	38	18
"Mef2c"	2631	551	132	124	3033	477	161	254	2663	573	286	183
"Meis2"	123	94	29	2	208	87	39	13	216	105	123	11
"Mmd"	143	372	53	41	203	375	61	34	204	327	86	60
"Mmp17"	151	235	65	36	170	204	46	43	188	230	82	69
"Mpped1"	685	902	128	21	911	879	107	36	753	864	182	12
"Mtcl1"	32	31	21	156	37	16	20	261	31	24	32	223
"Nacc2"	248	359	248	583	312	282	291	1145	221	285	486	780
"Nap1l5"	291	432	1355	445	514	318	1193	328	379	411	1721	662
"Ncdn"	537	1653	370	279	634	1486	331	512	460	1182	508	345
"Ndn"	49	149	377	84	104	107	311	127	85	126	453	117
"Necab2"	6	28	14	1	9	25	12	5	3	20	15	1
"Nefh"	107	101	79	153	140	85	72	368	92	90	164	211
"Nell2"	1097	2256	363	582	1437	2228	343	1071	1085	1746	493	752
"Nfia"	258	801	273	1122	443	664	279	1849	408	577	410	1556
"Nfic"	131	184	71	373	218	129	77	619	178	159	147	602
"Ngef"	254	147	81	8	375	157	79	21	322	131	158	24
"Nlk"	281	256	56	89	494	185	68	199	400	194	140	177
"Nnat"	70	548	745	94	115	418	925	211	131	614	1117	148
"Nptx1"	112	268	69	308	128	250	39	472	109	246	67	489
"Nr4a1"	28	58	3	8	39	61	9	1	245	113	21	87
"Nrep"	245	169	94	1660	480	144	55	4092	284	146	125	2594
"Nrgn"	6296	8571	439	23	10089	8263	460	51	7320	6359	770	38
"Nrn1"	167	201	32	66	205	224	28	37	260	178	44	192
"Nrsn2"	48	70	279	37	68	79	251	110	34	81	327	48
"Nsg1"	208	501	353	790	418	346	373	1182	251	332	567	1303
"Nsmf"	557	1743	165	82	851	1494	232	196	574	1206	263	158
"Ociad2"	115	391	83	87	182	308	76	72	147	283	127	88
"Osbp2"	112	112	21	105	174	135	23	256	119	72	34	140
"Pcbp4"	292	422	209	746	389	394	226	1224	289	295	300	703
"Pcp4"	177	212	137	673	265	183	165	1450	208	205	291	1110
"Pde10a"	16	44	14	65	19	30	21	82	23	35	30	107
"Pde1a"	286	270	57	4	342	260	82	3	240	307	97	7
"Pdk2"	26	48	25	98	42	37	30	179	22	43	47	106
"Peg3"	300	471	1590	519	474	410	1202	528	433	511	1859	788
"Penk"	58	76	99	134	106	40	76	110	66	44	231	268
"Pet100"	21	50	13	134	34	31	20	411	18	33	31	295
"Pex5l"	125	403	41	45	221	265	63	54	149	194	84	55
"Pfkl"	56	147	33	27	59	139	30	56	43	107	66	51
"Pgbd5"	85	218	29	98	101	197	26	80	91	134	36	176
"Phpt1"	154	224	163	283	263	240	204	771	173	161	213	373
"Phyhip"	245	381	90	336	300	330	90	837	218	313	122	481
"Pla2g7"	48	120	80	232	98	93	77	241	104	120	149	352
"Plcb4"	97	36	125	446	103	39	102	674	74	54	160	551
"Plk2"	107	280	38	24	159	221	31	19	157	222	46	20
"Plppr4"	231	887	119	116	332	566	107	210	312	607	171	168
"Pnck"	135	280	517	101	192	258	598	258	182	298	586	106
"Pnisr"	185	460	155	470	289	346	197	996	249	400	327	726
"Ppm1b"	167	267	153	365	291	205	149	846	203	190	285	506
"Ppm1e"	106	372	52	28	196	312	58	28	136	253	86	31
"Ppp1r1a"	86	215	51	35	127	239	61	45	116	145	94	36
"Ppp1r1b"	48	106	16	213	89	74	23	358	72	64	124	312
"Ppp2r5b"	339	431	271	459	510	418	347	1384	325	348	407	648
"Ppp3ca"	4555	14256	1659	3997	6355	11122	1381	5204	5130	8813	2541	5752
"Ppp3r1"	2826	8179	1433	1183	6080	7258	1445	1628	4235	4896	2310	2070
"Prickle2"	178	557	117	30	307	464	95	52	219	439	184	48
"Prkca"	228	871	111	104	390	722	87	209	291	511	166	176
"Prkcb"	3208	6018	582	1544	5373	4572	641	2665	3984	3699	1058	2472
"Prkce"	753	2012	350	520	983	1748	310	775	771	1454	469	740
"Prkcg"	43	180	10	90	44	196	15	141	44	148	18	135
"Prune2"	15	39	33	160	57	42	41	63	28	38	56	128
"Psd"	291	457	79	84	345	581	100	123	307	355	131	94
"Ptk2b"	157	603	21	2	205	607	17	4	146	362	39	4
"Pvalb"	127	143	23	1032	176	103	34	2674	128	77	79	1897
"Rapgefl1"	57	152	13	23	80	121	19	27	55	92	31	28
"Rasgrf2"	248	278	409	8	395	222	427	17	311	209	535	10
"Rasgrp1"	207	488	33	17	272	349	33	10	209	314	57	33
"Rbfox3"	582	1382	225	1335	1261	1076	251	3919	823	903	460	2336
"Reep2"	69	59	48	111	90	70	58	260	46	60	82	183
"Resp18"	46	25	197	10	52	28	245	24	36	37	209	5
"Rgs4"	466	303	137	13	868	191	140	35	775	240	240	16
"Rgs8"	17	56	23	332	29	48	16	666	24	40	40	403
"Rims3"	87	46	126	170	179	25	111	308	152	40	208	270
"Robo2"	54	90	13	16	72	93	22	21	67	67	39	20
"Rora"	431	302	231	1882	638	224	249	2741	464	304	374	2469
"Rpl29"	1	12	4	1	22	16	10	16	17	12	14	4
"S100b"	599	1174	629	2342	1029	970	863	7045	778	765	1340	4515
"Satb1"	387	278	91	94	624	235	82	176	425	237	118	125
"Scg2"	233	538	1405	203	420	496	1332	297	424	450	1769	367
"Scn1b"	445	597	141	607	590	508	121	1278	415	456	228	894
"Sdhd"	13	17	15	28	26	28	23	4	29	55	37	110
"Sema7a"	140	160	30	196	217	191	28	298	172	143	51	362
