"x"	"y"	"key"	"desiredBulk"	"dimred"
"154"	-7.51376029467353	-0.178500221598149	3312	"hippocampus"	"UMAP"
"155"	-7.36058923220405	-0.258531318533421	3319	"hippocampus"	"UMAP"
"156"	-7.409260477779	-0.244515405523778	3328	"hippocampus"	"UMAP"
"157"	-7.42537757372627	-0.250123844969273	3336	"hippocampus"	"UMAP"
"158"	-7.30714150881538	-0.222070322859288	4046	"hippocampus"	"UMAP"
"159"	-7.31135627245674	-0.238041566240788	4051	"hippocampus"	"UMAP"
"160"	-7.19802924608955	-0.109395848143102	1131	"hippocampus"	"UMAP"
"161"	-7.0777642390705	-0.117948011982442	1452	"hippocampus"	"UMAP"
"162"	-7.15165349459419	-0.0819317861676225	1487	"hippocampus"	"UMAP"
"163"	-7.09288283800849	-0.122872964966298	1653	"hippocampus"	"UMAP"
"164"	-7.14237662768134	-0.0809446736454972	1988	"hippocampus"	"UMAP"
"165"	-7.12624284243354	-0.122716294157506	1993	"hippocampus"	"UMAP"
"166"	-7.2254430911518	-0.0744263394951829	1994	"hippocampus"	"UMAP"
"167"	-7.20119687533149	-0.0773638054013261	1996	"hippocampus"	"UMAP"
"168"	-7.17442103838691	-0.0522416993260392	2204	"hippocampus"	"UMAP"
"169"	-7.05926295733222	-0.193853305208684	2376	"hippocampus"	"UMAP"
"170"	-7.0821816585041	-0.208699391710759	2724	"hippocampus"	"UMAP"
"171"	-7.16802426790962	-0.195674286711217	2727	"hippocampus"	"UMAP"
"172"	-7.1638581416584	-0.204298244345189	2744	"hippocampus"	"UMAP"
"173"	-7.17471620058784	-0.202725218164922	2746	"hippocampus"	"UMAP"
"174"	-7.172199930904	-0.186903820860387	2975	"hippocampus"	"UMAP"
"175"	-7.16109391665229	-0.211739943850041	3134	"hippocampus"	"UMAP"
"176"	-7.08867618059883	-0.205824957716466	3136	"hippocampus"	"UMAP"
"177"	-7.14718791460761	-0.2151424153924	3142	"hippocampus"	"UMAP"
"178"	-7.0809723994709	-0.208557353842259	3143	"hippocampus"	"UMAP"
"179"	-7.12547608828315	-0.206612335073949	3284	"hippocampus"	"UMAP"
