"2"	"3"
"671"	0	0
"672"	13	15
"673"	1	2
"674"	11	10
"675"	12	12
"676"	3	5
"677"	0	0
"678"	0	0
"679"	5	1
"680"	0	23
"681"	1	0
"682"	1	0
"683"	1	0
"684"	0	0
"685"	1	0
"686"	1	0
"687"	0	0
"688"	3	5
"689"	0	0
"690"	12	12
"691"	1	0
"692"	0	0
"693"	0	19
"694"	0	0
"695"	2	0
"696"	0	0
"697"	6	3
"698"	0	0
"699"	8	7
"700"	1	0
"701"	0	0
"702"	0	0
"703"	3	5
"704"	9	8
"705"	8	7
"706"	4	0
"707"	0	0
"708"	10	13
"709"	0	0
"710"	0	0
"711"	0	14
"712"	0	14
"713"	0	0
"714"	0	0
"715"	1	0
"716"	0	0
"717"	1	0
"718"	2	0
"719"	0	0
"720"	0	0
"721"	13	15
"722"	1	2
"723"	1	2
"724"	8	7
"725"	0	0
"726"	2	9
"727"	6	3
"728"	9	8
"729"	0	14
"730"	3	0
"731"	5	1
"732"	1	0
"733"	0	0
"734"	0	0
"735"	0	0
"736"	6	3
"737"	1	0
"738"	0	0
"739"	0	0
"740"	1	0
"741"	2	9
"742"	1	6
"743"	0	0
"744"	0	0
"745"	0	16
"746"	0	0
"747"	0	0
"748"	1	0
"749"	1	0
"750"	0	0
"751"	4	18
"752"	1	2
"753"	7	4
"754"	0	26
"755"	10	17
"756"	5	1
"757"	5	1
"758"	1	6
"759"	6	3
"760"	0	0
"761"	0	19
"762"	0	0
"763"	2	0
"764"	1	0
"765"	0	0
"766"	0	0
"767"	0	0
"768"	0	0
"769"	0	0
"770"	3	0
"771"	1	0
"772"	6	3
"773"	11	10
"774"	0	0
"775"	0	0
"776"	0	0
"777"	11	10
"778"	0	0
"779"	8	7
"780"	0	20
"781"	7	4
"782"	2	24
"783"	0	0
"784"	1	6
"785"	0	0
"786"	0	0
"787"	11	10
"788"	3	0
"789"	4	0
"790"	2	0
"791"	0	16
"792"	11	10
"793"	4	11
"794"	3	5
"795"	4	0
"796"	2	9
"797"	0	0
"798"	0	0
"799"	0	0
"800"	0	0
"801"	0	0
"802"	7	4
"803"	6	3
"804"	0	0
"805"	5	1
"806"	0	0
"807"	0	0
"808"	10	13
"809"	0	0
"810"	2	9
"811"	10	13
"812"	1	0
"813"	1	0
"814"	0	0
"815"	11	10
"816"	0	0
"817"	0	0
"818"	0	0
"819"	0	0
"820"	1	0
"821"	6	3
"822"	11	10
"823"	0	0
"824"	1	0
"825"	0	0
"826"	8	7
"827"	1	0
"828"	0	0
"829"	5	1
"830"	0	0
"831"	0	16
"832"	1	6
"833"	0	14
"834"	0	0
"835"	2	0
"836"	0	0
"837"	0	0
"838"	6	3
"839"	0	0
"840"	1	0
"841"	1	0
"842"	5	1
"843"	0	0
"844"	3	5
"845"	4	11
"846"	8	7
"847"	0	0
"848"	9	8
"849"	0	0
"850"	0	14
"851"	1	0
"852"	1	0
"853"	0	27
"854"	2	21
"855"	3	25
"856"	6	3
"857"	0	0
"858"	7	4
"859"	11	10
"860"	4	11
"861"	0	0
"862"	9	8
"863"	0	0
"864"	12	12
"865"	0	0
"866"	3	0
"867"	2	0
"868"	3	5
"869"	0	0
"870"	0	0
"871"	0	0
"872"	6	3
"873"	7	4
"874"	10	17
"875"	1	0
"876"	3	0
"877"	3	0
"878"	0	0
"879"	0	0
"880"	4	18
"881"	0	0
"882"	3	5
"883"	2	0
"884"	0	0
"885"	10	17
"886"	0	0
"887"	0	0
"888"	0	0
"889"	8	7
"890"	0	0
"891"	1	0
"892"	1	0
"893"	0	0
"894"	4	0
"895"	1	0
"896"	7	4
"897"	3	0
"898"	8	7
"899"	0	0
"900"	1	6
"901"	2	0
"902"	0	22
"903"	8	7
